,name,github_id,description,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,github_release_downloads,monthly_downloads,trending,new_addition
0,jlowin/fastmcp,jlowin/fastmcp,A high-level framework for building MCP servers in Python.,['python'],other-tools-and-integrations,https://github.com/jlowin/fastmcp,https://github.com/jlowin/fastmcp,Apache-2.0,2024-11-30 01:47:40,2025-09-07 18:32:01,2025-09-07 17:48:25,2099,866.0,1192,69.0,899.0,160.0,577.0,17362,2025-09-03 21:27:58,2.12.2,61.0,5815.0,5815.0,107.0,34,True,1,,,,
1,github/github-mcp-server,github/github-mcp-server,"Official GitHub server for integration with repository management, PRs, issues, and more.","['cloud', 'typescript']",version-control,https://github.com/github/github-mcp-server,https://github.com/github/github-mcp-server,MIT,2025-03-04 16:42:04,2025-09-05 22:46:26,2025-09-04 15:24:25,367,139.0,2404,242.0,502.0,156.0,284.0,22354,2025-09-03 13:44:19,0.14.0,21.0,4.0,4.0,80.0,31,True,1,83685.0,16737.0,,
2,mindsdb/mindsdb,mindsdb/mindsdb,Connect and unify data across various platforms and databases with MindsDB as a single MCP server.,[],aggregators,https://github.com/mindsdb/mindsdb,https://github.com/mindsdb/mindsdb,,2018-08-02 17:56:45,2025-09-07 21:59:55,2025-09-07 21:59:53,19659,261.0,5724,433.0,6665.0,44.0,4270.0,35550,2025-09-05 00:24:40,25.9.1.2,100.0,,,878.0,28,True,1,,,,
3,microsoft/playwright-mcp,microsoft/playwright-mcp,"Official Microsoft Playwright MCP server, enabling LLMs to interact with web pages through structured accessibility..",[],browser-automation,https://github.com/microsoft/playwright-mcp,https://github.com/microsoft/playwright-mcp,Apache-2.0,2025-03-21 17:48:36,2025-09-06 23:43:19,2025-09-06 20:04:30,367,161.0,1460,79.0,516.0,15.0,479.0,19213,2025-09-06 23:43:19,0.0.37,29.0,,,41.0,27,True,1,5834.0,972.0,,
4,oraios/serena,oraios/serena,A fully-featured coding agent that relies on symbolic code operations by using language servers.,"['local', 'python']",coding-agents,https://github.com/oraios/serena,https://github.com/oraios/serena,MIT,2025-03-23 22:35:24,2025-09-04 22:10:34,2025-09-04 22:10:34,1392,777.0,805,56.0,240.0,61.0,253.0,11735,2025-08-15 12:01:05,0.1.4,3.0,,,67.0,27,True,1,175.0,43.0,,
5,upstash/context7,upstash/context7,Up-to-date code documentation for LLMs and AI code editors.,"['cloud', 'typescript']",knowledge-and-memory,https://github.com/upstash/context7,https://github.com/upstash/context7,MIT,2025-03-26 23:40:39,2025-09-05 20:59:17,2025-09-05 20:59:15,403,195.0,1463,86.0,156.0,73.0,442.0,29315,2025-09-05 11:31:54,1.0.17,13.0,,,79.0,26,True,1,,,,
6,mediar-ai/screenpipe,mediar-ai/screenpipe,"Local-first system capturing screen/audio with timestamped indexing, SQL/embedding storage, semantic search, LLM-..","['local', 'macos', 'official', 'rust']",other-tools-and-integrations,https://github.com/mediar-ai/screenpipe,https://github.com/mediar-ai/screenpipe,MIT,2024-06-19 13:23:56,2025-09-01 20:21:42,2025-09-01 20:21:42,3996,5.0,1195,91.0,835.0,181.0,838.0,15566,2025-03-28 17:12:29,0.2.74,100.0,,,82.0,26,True,1,16512.0,1179.0,-1.0,
7,awslabs/mcp,awslabs/mcp,AWS MCP servers for seamless integration with AWS services and resources.,"['cloud', 'official']",cloud-platforms,https://github.com/awslabs/mcp,https://github.com/awslabs/mcp,Apache-2.0,2025-03-21 00:39:00,2025-09-06 18:26:23,2025-09-06 18:25:34,739,330.0,812,57.0,900.0,144.0,185.0,6243,2025-09-04 19:51:00,2025.09.20250904164828,100.0,4.0,4.0,149.0,25,True,1,,,,
8,punkpeye/fastmcp,punkpeye/fastmcp,A high-level framework for building MCP servers in TypeScript.,['typescript'],other-tools-and-integrations,https://github.com/punkpeye/fastmcp,https://github.com/punkpeye/fastmcp,MIT,2024-12-27 02:12:31,2025-08-27 21:55:46,2025-08-27 21:54:39,220,42.0,187,20.0,80.0,21.0,71.0,2488,2025-08-27 21:55:51,3.15.2,100.0,1210.0,1210.0,36.0,25,True,1,,,-1.0,
9,googleapis/genai-toolbox,googleapis/genai-toolbox,"Open source MCP server specializing in easy, fast, and secure tools for Databases.","['cloud', 'go']",databases,https://github.com/googleapis/genai-toolbox,https://github.com/googleapis/genai-toolbox,Apache-2.0,2024-06-07 20:52:54,2025-09-07 10:32:54,2025-09-05 18:30:23,832,341.0,796,66.0,1123.0,83.0,145.0,10262,2025-09-05 16:05:11,0.14.0,20.0,,,57.0,24,True,1,,,,
