,name,github_id,description,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,github_release_downloads,monthly_downloads,trending,updated_github_id
144,MarkusPfundstein/mcp-obsidian,MarkusPfundstein/mcp-obsidian,Interacting with Obsidian via REST API.,"['cloud', 'local', 'python']",other-tools-and-integrations,https://github.com/MarkusPfundstein/mcp-obsidian,https://github.com/MarkusPfundstein/mcp-obsidian,MIT,2024-11-29 11:07:12,2025-06-28 09:04:04,2025-06-28 09:04:04,55.0,,260.0,14.0,36.0,41.0,10.0,2153.0,,,,1.0,1.0,17.0,12,True,2.0,,,,
145,caol64/wenyan-mcp,caol64/wenyan-mcp,"Wenyan MCP Server, which lets AI automatically format Markdown articles and publish them to WeChat GZH.","['linux', 'local', 'macos', 'typescript', 'windows']",other-tools-and-integrations,https://github.com/caol64/wenyan-mcp,https://github.com/caol64/wenyan-mcp,Apache-2.0,2025-06-02 23:54:09,2025-09-24 09:00:48,2025-09-24 09:00:48,32.0,18.0,92.0,5.0,3.0,24.0,1.0,841.0,2025-09-18 04:01:57,1.0.5,2.0,,,2.0,12,True,2.0,,,,
146,co-browser/browser-use-mcp-server,co-browser/browser-use-mcp-server,browser-use packaged as an MCP server with SSE transport. includes a dockerfile to run chromium in docker + a vnc..,['python'],browser-automation,https://github.com/co-browser/browser-use-mcp-server,https://github.com/co-browser/browser-use-mcp-server,MIT,2025-03-06 09:47:03,2025-07-10 09:57:23,2025-07-10 09:57:18,161.0,2.0,100.0,4.0,32.0,11.0,10.0,748.0,2025-04-15 23:37:23,1.0.3,4.0,,,7.0,12,True,3.0,84.0,14.0,-2.0,
147,neondatabase-labs/mcp-server-neon,neondatabase-labs/mcp-server-neon,An MCP Server for creating and managing Postgres databases using Neon Serverless Postgres.,"['cloud', 'typescript']",databases,https://github.com/neondatabase/mcp-server-neon,https://github.com/neondatabase/mcp-server-neon,MIT,2024-11-29 19:08:55,2025-09-30 23:13:13,2025-09-11 19:25:14,133.0,25.0,77.0,6.0,99.0,7.0,16.0,476.0,,,,,,15.0,12,True,3.0,,,,neondatabase/mcp-server-neon
148,evalstate/mcp-hfspace,evalstate/mcp-hfspace,"Use HuggingFace Spaces directly from Claude. Use Open Source Image Generation, Chat, Vision tasks and more. Supports..","['cloud', 'typescript']",other-tools-and-integrations,https://github.com/evalstate/mcp-hfspace,https://github.com/evalstate/mcp-hfspace,MIT,2024-12-03 17:39:34,2025-06-13 17:05:31,2025-06-13 17:05:31,155.0,,56.0,5.0,14.0,8.0,6.0,360.0,2025-04-21 06:49:12,0.54,8.0,2.0,2.0,7.0,12,True,2.0,,,,
149,runekaagaard/mcp-alchemy,runekaagaard/mcp-alchemy,"Universal SQLAlchemy-based database integration supporting PostgreSQL, MySQL, MariaDB, SQLite, Oracle, MS SQL Server..","['local', 'python']",databases,https://github.com/runekaagaard/mcp-alchemy,https://github.com/runekaagaard/mcp-alchemy,MPL-2.0,2024-12-26 14:09:30,2025-08-15 07:18:27,2025-08-15 07:18:25,119.0,11.0,53.0,6.0,12.0,,16.0,340.0,,,,,,6.0,12,True,3.0,,,,
150,InditexTech/mcp-teams-server,InditexTech/mcp-teams-server,"MCP server that integrates Microsoft Teams messaging (read, post, mention, list members and threads).","['cloud', 'python']",communication,https://github.com/InditexTech/mcp-teams-server,https://github.com/InditexTech/mcp-teams-server,Apache-2.0,2025-03-18 13:03:30,2025-09-29 16:56:15,2025-09-01 14:44:39,127.0,8.0,22.0,2.0,73.0,,2.0,318.0,2025-07-21 10:15:27,1.0.6,7.0,,,3.0,12,True,3.0,,,,
151,ttommyth/interactive-mcp,ttommyth/interactive-mcp,Enables interactive LLM workflows by adding local user prompts and chat capabilities directly into the MCP loop.,"['linux', 'local', 'macos', 'typescript', 'windows']",other-tools-and-integrations,https://github.com/ttommyth/interactive-mcp,https://github.com/ttommyth/interactive-mcp,MIT,2025-04-25 13:38:04,2025-09-09 14:52:48,2025-09-09 13:37:29,47.0,2.0,21.0,1.0,5.0,7.0,9.0,299.0,2025-06-16 14:29:24,1.10.1,16.0,1.0,1.0,5.0,12,True,2.0,,,,
152,mzxrai/mcp-webresearch,mzxrai/mcp-webresearch,Search Google and do deep web research on any topic.,[],search-data-extraction,https://github.com/mzxrai/mcp-webresearch,https://github.com/mzxrai/mcp-webresearch,MIT,2024-12-06 04:28:52,2024-12-18 03:38:30,2024-12-18 03:38:25,35.0,,57.0,2.0,7.0,,,280.0,2024-12-15 22:32:43,0.1.6,3.0,5.0,5.0,,12,True,2.0,,,,
153,cyberchitta/llm-context.py,cyberchitta/llm-context.py,Share code context with LLMs via MCP or clipboard.,"['local', 'python']",file-systems,https://github.com/cyberchitta/llm-context.py,https://github.com/cyberchitta/llm-context.py,Apache-2.0,2024-04-20 15:51:14,2025-10-05 16:45:17,2025-10-05 16:45:12,665.0,180.0,24.0,7.0,12.0,2.0,2.0,276.0,,,,,,2.0,12,True,3.0,,,,
154,Automata-Labs-team/MCP-Server-Playwright,Automata-Labs-team/MCP-Server-Playwright,An MCP server for browser automation using Playwright.,['python'],browser-automation,https://github.com/VikashLoomba/MCP-Server-Playwright,https://github.com/VikashLoomba/MCP-Server-Playwright,MIT,2024-12-02 08:15:20,2025-06-05 21:48:28,2025-06-05 21:48:28,75.0,,37.0,2.0,9.0,5.0,1.0,260.0,2025-01-24 07:03:52,1.2.1,15.0,12.0,12.0,5.0,12,True,3.0,,,,VikashLoomba/MCP-Server-Playwright
155,hyperb1iss/droidmind,hyperb1iss/droidmind,"Control Android devices with AI through MCP, enabling device control, debugging, system analysis, and UI automation..","['local', 'python']",developer-tools,https://github.com/hyperb1iss/droidmind,https://github.com/hyperb1iss/droidmind,Apache-2.0,2025-03-02 10:46:15,2025-05-16 20:36:01,2025-05-16 20:33:53,82.0,,36.0,3.0,3.0,4.0,6.0,243.0,2025-05-16 20:36:13,0.3.1,1.0,,,,12,True,3.0,,,,
156,admica/FileScopeMCP,admica/FileScopeMCP,Analyzes your codebase identifying important files based on dependency relationships. Generates diagrams and..,"['python', 'rust', 'typescript']",developer-tools,https://github.com/admica/FileScopeMCP,https://github.com/admica/FileScopeMCP,GPL-3.0,2025-03-27 19:35:07,2025-09-04 17:04:25,2025-09-04 17:04:25,92.0,4.0,26.0,1.0,5.0,6.0,3.0,238.0,2025-06-11 16:58:24,2.8.0,4.0,,,4.0,12,True,3.0,,,,
