,name,github_id,description,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,github_release_downloads,monthly_downloads,trending,new_addition
88,joshuayoes/ios-simulator-mcp,joshuayoes/ios-simulator-mcp,A Model Context Protocol (MCP) server for interacting with iOS simulators. This server allows you to interact with iOS..,"['local', 'macos', 'typescript']",developer-tools,https://github.com/joshuayoes/ios-simulator-mcp,https://github.com/joshuayoes/ios-simulator-mcp,MIT,2025-03-20 02:39:27,2025-08-16 17:56:10,2025-08-16 17:56:04,90,26.0,43,5.0,13.0,7.0,10.0,910,2025-08-16 17:13:05,1.4.2,10.0,1.0,1.0,7.0,14,True,2,,,,
89,jasonjmcghee/claude-debugs-for-you,jasonjmcghee/claude-debugs-for-you,An MCP Server and VS Code Extension which enables (language agnostic) automatic debugging via breakpoints and..,"['local', 'typescript']",developer-tools,https://github.com/jasonjmcghee/claude-debugs-for-you,https://github.com/jasonjmcghee/claude-debugs-for-you,MIT,2025-01-17 05:54:24,2025-08-12 02:35:03,2025-08-12 02:35:03,83,9.0,35,7.0,17.0,9.0,10.0,403,2025-05-22 16:22:11,0.1.1,8.0,,,4.0,14,True,2,128.0,18.0,,
90,evalstate/mcp-hfspace,evalstate/mcp-hfspace,"Use HuggingFace Spaces directly from Claude. Use Open Source Image Generation, Chat, Vision tasks and more. Supports..","['cloud', 'typescript']",other-tools-and-integrations,https://github.com/evalstate/mcp-hfspace,https://github.com/evalstate/mcp-hfspace,MIT,2024-12-03 17:39:34,2025-06-13 17:05:31,2025-06-13 17:05:31,155,5.0,53,5.0,13.0,7.0,6.0,348,2025-04-21 06:49:12,0.54,8.0,2.0,2.0,7.0,14,True,2,,,,
91,chroma-core/chroma-mcp,chroma-core/chroma-mcp,Chroma MCP server to access local and cloud Chroma instances for retrieval capabilities.,"['cloud', 'local', 'official', 'python']",databases,https://github.com/chroma-core/chroma-mcp,https://github.com/chroma-core/chroma-mcp,Apache-2.0,2025-02-11 00:23:22,2025-08-14 15:32:18,2025-08-14 15:31:51,55,7.0,52,4.0,30.0,5.0,11.0,295,2025-08-14 15:33:11,0.2.6,7.0,,,4.0,14,True,2,51.0,12.0,,
92,base/base-mcp,base/base-mcp,"Base Network integration for onchain tools, allowing interaction with Base Network and Coinbase API for wallet..","['cloud', 'official', 'typescript']",finance-and-fintech,https://github.com/base/base-mcp,https://github.com/base/base-mcp,MIT,2025-03-06 21:57:34,2025-06-17 13:47:28,2025-04-22 17:33:46,155,,89,7.0,83.0,5.0,4.0,275,2025-04-22 17:46:02,1.0.13,2.0,1.0,1.0,7.0,14,True,1,,,,
93,blurrah/mcp-graphql,blurrah/mcp-graphql,Allows the AI to query GraphQL servers.,"['cloud', 'typescript']",other-tools-and-integrations,https://github.com/blurrah/mcp-graphql,https://github.com/blurrah/mcp-graphql,MIT,2024-12-21 14:05:45,2025-07-31 20:14:19,2025-07-31 20:14:17,80,8.0,40,3.0,16.0,4.0,11.0,253,2025-05-27 19:57:47,2.0.4,22.0,2.0,2.0,7.0,14,True,2,91.0,11.0,,
94,utensils/mcp-nixos,utensils/mcp-nixos,"MCP server providing accurate information about NixOS packages, system options, Home Manager configurations, and nix-..","['local', 'python']",developer-tools,https://github.com/utensils/mcp-nixos,https://github.com/utensils/mcp-nixos,MIT,2025-03-20 05:05:00,2025-08-16 22:36:28,2025-08-16 19:28:58,348,34.0,12,5.0,32.0,4.0,11.0,237,2025-08-03 09:15:15,1.0.1,2.0,,,5.0,14,True,2,,,,
95,pipeboard-co/meta-ads-mcp,pipeboard-co/meta-ads-mcp,"Meta Ads automation that just works. Trusted by 10,000+ businesses to analyze performance, test creatives, optimize..","['cloud', 'local', 'python']",marketing,https://github.com/pipeboard-co/meta-ads-mcp,https://github.com/pipeboard-co/meta-ads-mcp,,2025-04-11 20:53:47,2025-08-15 15:41:15,2025-08-15 15:38:53,252,127.0,58,7.0,6.0,3.0,12.0,218,2025-08-15 15:41:16,0.10.9,40.0,,,3.0,14,True,1,,,,
96,cr7258/elasticsearch-mcp-server,cr7258/elasticsearch-mcp-server,MCP Server implementation that provides Elasticsearch interaction.,"['local', 'python']",databases,https://github.com/cr7258/elasticsearch-mcp-server,https://github.com/cr7258/elasticsearch-mcp-server,Apache-2.0,2025-01-09 04:20:03,2025-08-17 12:53:46,2025-08-17 12:53:45,109,21.0,39,2.0,29.0,5.0,4.0,192,2025-07-17 12:50:23,2.0.10,12.0,,,7.0,14,True,2,,,,
97,isaacwasserman/mcp-snowflake-server,isaacwasserman/mcp-snowflake-server,Snowflake integration implementing read and (optional) write operations as well as insight tracking.,"['cloud', 'python']",databases,https://github.com/isaacwasserman/mcp-snowflake-server,https://github.com/isaacwasserman/mcp-snowflake-server,GPL-3.0,2024-12-13 20:30:59,2025-08-05 16:59:06,2025-08-05 16:59:06,84,17.0,63,4.0,20.0,6.0,10.0,152,2025-04-10 14:31:01,0.4.0,20.0,,,9.0,14,True,2,,,,
