,name,github_id,description,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,github_release_downloads,monthly_downloads,trending,new_addition
0,jlowin/fastmcp,jlowin/fastmcp,A high-level framework for building MCP servers in Python.,['python'],other-tools-and-integrations,https://github.com/jlowin/fastmcp,https://github.com/jlowin/fastmcp,Apache-2.0,2024-11-30 01:47:40,2025-08-25 00:09:41,2025-08-25 00:09:40,1998,1073.0,1114,68.0,818.0,152.0,519.0,16709,2025-08-11 21:38:31,2.11.3,57.0,5507.0,5507.0,99.0,34,True,1,,,,
1,github/github-mcp-server,github/github-mcp-server,"Official GitHub server for integration with repository management, PRs, issues, and more.","['cloud', 'typescript']",version-control,https://github.com/github/github-mcp-server,https://github.com/github/github-mcp-server,MIT,2025-03-04 16:42:04,2025-08-22 14:33:08,2025-08-21 22:20:26,358,143.0,2211,232.0,464.0,150.0,255.0,21634,2025-08-22 14:42:42,0.13.0,20.0,4.0,4.0,77.0,30,True,1,70909.0,17727.0,,
2,mindsdb/mindsdb,mindsdb/mindsdb,Connect and unify data across various platforms and databases with MindsDB as a single MCP server.,[],aggregators,https://github.com/mindsdb/mindsdb,https://github.com/mindsdb/mindsdb,,2018-08-02 17:56:45,2025-08-22 19:56:59,2025-08-22 12:33:29,19623,299.0,5699,427.0,6612.0,46.0,4259.0,35383,2025-08-19 15:02:07,25.8.2.0,100.0,,,878.0,28,True,1,,,,
3,mediar-ai/screenpipe,mediar-ai/screenpipe,"Local-first system capturing screen/audio with timestamped indexing, SQL/embedding storage, semantic search, LLM-..","['local', 'macos', 'official', 'rust']",other-tools-and-integrations,https://github.com/mediar-ai/screenpipe,https://github.com/mediar-ai/screenpipe,MIT,2024-06-19 13:23:56,2025-08-13 16:12:05,2025-08-13 16:12:05,3995,30.0,1188,90.0,827.0,178.0,806.0,15478,2025-03-28 17:12:29,0.2.74,100.0,,,80.0,28,True,1,16169.0,1243.0,,
4,oraios/serena,oraios/serena,A fully-featured coding agent that relies on symbolic code operations by using language servers.,"['local', 'python']",coding-agents,https://github.com/oraios/serena,https://github.com/oraios/serena,MIT,2025-03-23 22:35:24,2025-08-23 22:14:17,2025-08-23 22:14:08,1356,901.0,672,50.0,212.0,48.0,225.0,9843,2025-08-15 12:01:05,0.1.4,3.0,,,58.0,27,True,1,123.0,41.0,,
5,microsoft/playwright-mcp,microsoft/playwright-mcp,"Official Microsoft Playwright MCP server, enabling LLMs to interact with web pages through structured accessibility..",[],browser-automation,https://github.com/microsoft/playwright-mcp,https://github.com/microsoft/playwright-mcp,Apache-2.0,2025-03-21 17:48:36,2025-08-24 15:58:24,2025-08-23 22:34:49,344,157.0,1354,74.0,484.0,44.0,413.0,17970,2025-08-24 15:58:24,0.0.35,27.0,,,39.0,26,True,1,1484.0,296.0,,
6,punkpeye/fastmcp,punkpeye/fastmcp,A high-level framework for building MCP servers in TypeScript.,['typescript'],other-tools-and-integrations,https://github.com/punkpeye/fastmcp,https://github.com/punkpeye/fastmcp,MIT,2024-12-27 02:12:31,2025-08-22 18:38:16,2025-08-22 18:37:13,219,56.0,180,18.0,77.0,20.0,71.0,2428,2025-08-22 18:38:22,3.15.1,100.0,1202.0,1202.0,35.0,26,True,1,,,,
7,upstash/context7,upstash/context7,Up-to-date code documentation for LLMs and AI code editors.,"['cloud', 'typescript']",knowledge-and-memory,https://github.com/upstash/context7,https://github.com/upstash/context7,MIT,2025-03-26 23:40:39,2025-08-21 13:14:01,2025-08-21 13:13:58,367,200.0,1376,84.0,142.0,79.0,371.0,27173,2025-08-21 12:45:32,1.0.16,12.0,,,75.0,25,True,1,,,,
8,googleapis/genai-toolbox,googleapis/genai-toolbox,"Open source MCP server specializing in easy, fast, and secure tools for Databases.","['cloud', 'go']",databases,https://github.com/googleapis/genai-toolbox,https://github.com/googleapis/genai-toolbox,Apache-2.0,2024-06-07 20:52:54,2025-08-24 18:56:54,2025-08-23 03:43:53,773,333.0,714,59.0,1025.0,76.0,123.0,9515,2025-08-14 23:41:38,0.12.0,18.0,,,54.0,24,True,1,,,,
9,grafana/mcp-grafana,grafana/mcp-grafana,"Search dashboards, investigate incidents and query datasources in your Grafana instance.","['cloud', 'local', 'official', 'python']",monitoring,https://github.com/grafana/mcp-grafana,https://github.com/grafana/mcp-grafana,Apache-2.0,2024-12-24 15:44:23,2025-08-21 23:58:22,2025-08-19 05:10:50,264,51.0,129,112.0,162.0,32.0,64.0,1453,2025-08-19 09:04:39,0.6.3,18.0,1.0,1.0,27.0,24,True,1,15367.0,2195.0,,
