,name,github_id,description,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,github_release_downloads,monthly_downloads,trending,new_addition
10,Azure/azure-mcp,Azure/azure-mcp,"Official Microsoft MCP server for Azure services including Storage, Cosmos DB, and Azure Monitor.",[],other-tools-and-integrations,https://github.com/Azure/azure-mcp,https://github.com/Azure/azure-mcp,MIT,2025-04-16 14:54:24,2025-08-21 23:45:17,2025-08-21 20:55:33,488,348.0,326,41.0,639.0,180.0,216.0,1113,2025-08-21 22:02:39,0.5.8,38.0,2.0,2.0,70.0,24,True,1,274.0,68.0,3.0,
11,awslabs/mcp,awslabs/mcp,AWS MCP servers for seamless integration with AWS services and resources.,"['cloud', 'official']",cloud-platforms,https://github.com/awslabs/mcp,https://github.com/awslabs/mcp,Apache-2.0,2025-03-21 00:39:00,2025-08-22 23:22:31,2025-08-22 23:21:41,696,384.0,765,55.0,846.0,153.0,156.0,6025,2025-08-22 19:35:37,2025.08.20250822191015,100.0,4.0,4.0,136.0,23,True,1,,,,
12,sooperset/mcp-atlassian,sooperset/mcp-atlassian,"MCP server for Atlassian products (Confluence and Jira). Supports Confluence Cloud, Jira Cloud, and Jira Server/Data..","['cloud', 'python']",support-and-service-management,https://github.com/sooperset/mcp-atlassian,https://github.com/sooperset/mcp-atlassian,MIT,2024-12-03 09:25:20,2025-06-30 11:32:08,2025-06-30 11:31:36,325,59.0,528,14.0,347.0,76.0,174.0,2912,2025-06-29 14:00:36,0.11.9,49.0,4.0,4.0,48.0,23,True,1,,,,
13,dagger/container-use,dagger/container-use,"Containerized environments for coding agents. Multiple agents can work independently, isolated in fresh containers and..","['go', 'linux', 'local', 'macos', 'windows']",code-execution,https://github.com/dagger/container-use,https://github.com/dagger/container-use,Apache-2.0,2025-05-23 23:18:43,2025-08-22 17:37:46,2025-08-15 19:21:34,304,304.0,148,10.0,210.0,34.0,38.0,2881,2025-08-19 22:31:40,0.4.2,14.0,,,28.0,23,True,1,9471.0,4735.0,-1.0,
14,Flux159/mcp-server-kubernetes,Flux159/mcp-server-kubernetes,"Typescript implementation of Kubernetes cluster operations for pods, deployments, services.","['cloud', 'local', 'typescript']",cloud-platforms,https://github.com/Flux159/mcp-server-kubernetes,https://github.com/Flux159/mcp-server-kubernetes,MIT,2024-12-08 00:01:28,2025-08-18 18:05:51,2025-08-18 18:05:51,594,233.0,166,10.0,135.0,10.0,50.0,999,2025-08-11 06:13:24,2.8.0,44.0,8.0,8.0,26.0,22,True,1,55.0,11.0,,
15,weibaohui/k8m,weibaohui/k8m,"Provides MCP multi-cluster Kubernetes management and operations, featuring a management interface, logging, and nearly..","['cloud', 'go', 'local']",cloud-platforms,https://github.com/weibaohui/k8m,https://github.com/weibaohui/k8m,MIT,2024-10-11 01:39:31,2025-08-24 14:06:59,2025-08-24 14:05:27,3792,692.0,104,15.0,221.0,13.0,54.0,624,2025-08-21 15:38:08,0.0.152,100.0,,,13.0,22,True,1,1591.0,318.0,,
16,wonderwhy-er/DesktopCommanderMCP,wonderwhy-er/DesktopCommanderMCP,A swiss-army-knife that can manage/execute programs and read/write/search/edit code and text files.,"['linux', 'local', 'macos', 'typescript', 'windows']",command-line,https://github.com/wonderwhy-er/DesktopCommanderMCP,https://github.com/wonderwhy-er/DesktopCommanderMCP,MIT,2024-12-04 08:26:08,2025-08-23 19:34:25,2025-08-22 20:48:44,342,56.0,466,44.0,105.0,58.0,48.0,4279,2025-08-15 07:27:35,0.2.9,18.0,,,17.0,21,True,1,,,,
17,mrexodia/ida-pro-mcp,mrexodia/ida-pro-mcp,"MCP server for IDA Pro, allowing you to perform binary analysis with AI assistants. This plugin implement..","['local', 'python']",security,https://github.com/mrexodia/ida-pro-mcp,https://github.com/mrexodia/ida-pro-mcp,MIT,2025-03-25 22:23:41,2025-08-24 12:16:43,2025-08-24 12:16:43,152,44.0,319,24.0,42.0,25.0,53.0,3253,2025-04-09 21:10:06,1.3.0,2.0,,,21.0,21,True,1,,,3.0,
18,cloudflare/mcp-server-cloudflare,cloudflare/mcp-server-cloudflare,"Integration with Cloudflare services including Workers, KV, R2, and D1.","['cloud', 'official', 'typescript']",cloud-platforms,https://github.com/cloudflare/mcp-server-cloudflare,https://github.com/cloudflare/mcp-server-cloudflare,Apache-2.0,2024-11-27 22:07:30,2025-08-13 15:34:46,2025-08-13 15:34:13,300,36.0,248,28.0,175.0,17.0,28.0,2887,2025-08-13 15:35:40,containers-mcp@0.2.5,100.0,9.0,9.0,29.0,21,True,2,,,,
19,metatool-ai/metamcp,metatool-ai/metamcp,MetaMCP is the one unified middleware MCP server that manages your MCP connections with GUI.,"['cloud', 'linux', 'local', 'macos', 'typescript', 'windows']",aggregators,https://github.com/metatool-ai/metamcp,https://github.com/metatool-ai/metamcp,MIT,2025-01-22 11:58:52,2025-08-24 14:44:03,2025-08-24 14:43:38,636,373.0,161,12.0,57.0,13.0,69.0,1100,2025-08-24 15:32:23,2.4.10,25.0,,,7.0,21,True,1,,,2.0,
20,taylorwilsdon/google_workspace_mcp,taylorwilsdon/google_workspace_mcp,"Comprehensive Google Workspace MCP server with full support for Google Calendar, Drive, Gmail, and Docs, Forms, Chats,..","['cloud', 'linux', 'macos', 'python', 'windows']",workplace-and-productivity,https://github.com/taylorwilsdon/google_workspace_mcp,https://github.com/taylorwilsdon/google_workspace_mcp,MIT,2025-04-27 18:31:13,2025-08-24 18:09:27,2025-08-24 18:09:23,844,700.0,137,6.0,118.0,11.0,60.0,558,2025-08-24 18:05:06,1.4.5,37.0,,,25.0,21,True,1,689.0,229.0,,
21,Canner/wren-engine,Canner/wren-engine,The Semantic Engine for Model Context Protocol(MCP) Clients and AI Agents.,"['local', 'python', 'rust']",databases,https://github.com/Canner/wren-engine,https://github.com/Canner/wren-engine,Apache-2.0,2022-05-09 07:07:45,2025-08-22 10:25:03,2025-08-22 10:25:03,1097,99.0,115,14.0,1004.0,38.0,254.0,417,2025-08-12 09:16:23,0.18.4,74.0,,,22.0,21,True,1,118.0,4.0,,
22,GLips/Figma-Context-MCP,GLips/Figma-Context-MCP,Provide coding agents direct access to Figma data to help them one-shot design implementation.,"['local', 'typescript']",developer-tools,https://github.com/GLips/Figma-Context-MCP,https://github.com/GLips/Figma-Context-MCP,MIT,2025-02-13 02:55:06,2025-08-13 16:27:27,2025-08-13 16:24:19,139,41.0,809,56.0,88.0,23.0,109.0,10186,2025-08-13 15:21:12,0.5.1,9.0,,,20.0,20,True,1,,,-1.0,
23,supabase-community/supabase-mcp,supabase-community/supabase-mcp,Official Supabase MCP server to connect AI assistants directly with your Supabase project and allows them to perform..,"['cloud', 'official', 'typescript']",databases,https://github.com/supabase-community/supabase-mcp,https://github.com/supabase-community/supabase-mcp,Apache-2.0,2024-12-20 23:52:42,2025-08-22 00:39:06,2025-08-22 00:39:06,252,82.0,202,25.0,68.0,43.0,15.0,1990,2025-06-20 20:58:50,0.4.5,16.0,,,7.0,20,True,1,,,,
24,julien040/anyquery,julien040/anyquery,"Query more than 40 apps with one binary using SQL. It can also connect to your PostgreSQL, MySQL, or SQLite compatible..","['cloud', 'go', 'local']",aggregators,https://github.com/julien040/anyquery,https://github.com/julien040/anyquery,,2024-04-06 17:17:25,2025-08-09 16:02:13,2025-08-09 16:02:02,380,34.0,74,9.0,12.0,4.0,25.0,1279,2025-08-06 21:31:54,0.4.3,12.0,42.0,42.0,5.0,20,True,2,8875.0,739.0,,
25,containers/kubernetes-mcp-server,containers/kubernetes-mcp-server,A - powerful Kubernetes MCP server with additional support for OpenShift. Besides providing CRUD operations for any..,"['go', 'local']",cloud-platforms,https://github.com/containers/kubernetes-mcp-server,https://github.com/containers/kubernetes-mcp-server,Apache-2.0,2025-02-11 02:57:36,2025-08-21 01:39:27,2025-08-14 03:08:29,305,129.0,95,5.0,220.0,22.0,36.0,519,2025-08-08 12:48:59,0.0.49,49.0,,,13.0,20,True,2,1906.0,317.0,,
26,aymericzip/intlayer,aymericzip/intlayer,"A MCP Server that enhance your IDE with AI-powered assistance for Intlayer i18n / CMS tool: smart CLI access, access..","['cloud', 'local', 'typescript']",command-line,https://github.com/aymericzip/intlayer,https://github.com/aymericzip/intlayer,Apache-2.0,2024-03-24 20:14:24,2025-08-24 20:25:52,2025-08-24 13:16:05,2736,702.0,46,2.0,129.0,39.0,34.0,291,2024-08-07 00:31:20,cli-example@1.1.12,100.0,45.0,45.0,16.0,20,True,2,,,,
27,LaurieWired/GhidraMCP,LaurieWired/GhidraMCP,A Model Context Protocol server for Ghidra that enables LLMs to autonomously reverse engineer applications. Provides..,"['java', 'local']",security,https://github.com/LaurieWired/GhidraMCP,https://github.com/LaurieWired/GhidraMCP,Apache-2.0,2025-03-23 05:36:55,2025-06-23 04:18:18,2025-06-23 04:09:41,61,3.0,404,54.0,29.0,25.0,27.0,5692,2025-06-23 04:18:18,1.4,5.0,,,10.0,19,True,1,11849.0,2369.0,,
28,korotovsky/slack-mcp-server,korotovsky/slack-mcp-server,The most powerful MCP server for Slack Workspaces.,"['cloud', 'typescript']",communication,https://github.com/korotovsky/slack-mcp-server,https://github.com/korotovsky/slack-mcp-server,MIT,2025-04-12 11:31:34,2025-08-24 12:11:06,2025-08-24 12:11:06,234,197.0,69,2.0,44.0,7.0,39.0,552,2025-08-15 09:16:56,1.1.24,25.0,,,14.0,19,True,1,1278.0,319.0,,
29,IvanMurzak/Unity-MCP,IvanMurzak/Unity-MCP,MCP Server for Unity Editor and for a game made with Unity.,"['csharp', 'linux', 'local', 'macos', 'windows']",gaming,https://github.com/IvanMurzak/Unity-MCP,https://github.com/IvanMurzak/Unity-MCP,Apache-2.0,2025-04-02 09:57:01,2025-08-23 15:41:51,2025-08-23 15:41:48,997,327.0,39,11.0,85.0,6.0,95.0,367,2025-08-19 16:29:28,0.15.0,34.0,1.0,1.0,2.0,19,True,1,689.0,172.0,,
30,apify/apify-mcp-server,apify/apify-mcp-server,"Use 3,000+ pre-built cloud tools, known as Actors, to extract data from websites, e-commerce, social media, search..","['cloud', 'typescript']",other-tools-and-integrations,https://github.com/apify/apify-mcp-server,https://github.com/apify/apify-mcp-server,MIT,2025-01-02 15:43:09,2025-08-24 18:14:20,2025-08-23 20:08:19,288,121.0,38,6.0,157.0,20.0,61.0,345,2025-08-21 09:34:23,0.3.9,54.0,2.0,2.0,11.0,19,True,1,222.0,31.0,,True
31,eat-pray-ai/yutu,eat-pray-ai/yutu,A fully functional MCP server and CLI for YouTube to automate YouTube operation.,"['go', 'linux', 'local', 'macos', 'windows']",browser-automation,https://github.com/eat-pray-ai/yutu,https://github.com/eat-pray-ai/yutu,Apache-2.0,2023-05-20 09:46:22,2025-08-19 15:08:33,2025-08-19 15:08:25,362,83.0,13,3.0,71.0,2.0,3.0,209,2025-08-11 14:36:51,0.10.1,18.0,3.0,3.0,3.0,19,True,1,6908.0,406.0,,
32,apecloud/ApeRAG,apecloud/ApeRAG,"Production-ready RAG platform combining Graph RAG, vector search, and full-text search. Best choice for building your..","['cloud', 'local', 'python']",knowledge-and-memory,https://github.com/apecloud/ApeRAG,https://github.com/apecloud/ApeRAG,Apache-2.0,2023-06-20 12:18:12,2025-08-24 11:44:23,2025-08-22 10:14:47,2041,660.0,12,7.0,884.0,40.0,323.0,82,2025-03-27 07:52:01,0.5.0-alpha.14,100.0,,,17.0,19,True,1,,,,
33,wanaku-ai/wanaku,wanaku-ai/wanaku,The Wanaku MCP Router is a SSE-based MCP server that provides an extensible routing engine that allows integrating..,"['cloud', 'local']",other-tools-and-integrations,https://github.com/wanaku-ai/wanaku,https://github.com/wanaku-ai/wanaku,Apache-2.0,2025-02-01 13:12:59,2025-08-21 09:06:22,2025-08-21 09:05:38,822,282.0,27,1.0,323.0,41.0,112.0,80,2025-07-17 08:25:31,0.0.7,8.0,5.0,5.0,14.0,19,True,1,515.0,103.0,,
34,keboola/mcp-server,keboola/mcp-server,interact with Keboola Connection Data Platform. This server provides tools for listing and accessing data from Keboola..,['python'],data-platforms,https://github.com/keboola/mcp-server,https://github.com/keboola/mcp-server,MIT,2025-01-12 20:01:21,2025-08-23 15:51:41,2025-08-23 15:21:20,2191,1232.0,16,17.0,237.0,1.0,5.0,68,2025-08-22 18:07:56,1.18.1,17.0,,,24.0,19,True,1,,,,
35,executeautomation/mcp-playwright,executeautomation/mcp-playwright,An MCP server using Playwright for browser automation and webscrapping.,['typescript'],browser-automation,https://github.com/executeautomation/mcp-playwright,https://github.com/executeautomation/mcp-playwright,MIT,2024-12-03 18:43:20,2025-06-20 21:28:21,2025-06-20 21:28:21,242,17.0,395,35.0,81.0,35.0,50.0,4625,,,,,,29.0,18,True,2,,,,
36,bram2w/baserow,bram2w/baserow,"Baserow database integration with table search, list, and row create, read, update, and delete capabilities.",[],databases,https://github.com/bram2w/baserow,https://github.com/bram2w/baserow,,2020-07-20 09:32:04,2025-08-22 09:57:52,2025-07-23 18:56:43,6149,282.0,376,30.0,60.0,,,2842,,,,,,82.0,18,True,1,,,,
37,antvis/mcp-server-chart,antvis/mcp-server-chart,A Model Context Protocol server for generating visual charts using AntV.,"['cloud', 'official', 'typescript']",customer-data-platforms,https://github.com/antvis/mcp-server-chart,https://github.com/antvis/mcp-server-chart,MIT,2025-04-25 09:10:06,2025-08-22 01:03:42,2025-08-22 01:00:55,71,36.0,235,18.0,76.0,18.0,85.0,2569,2025-08-22 01:04:03,0.9.0-beta.0,14.0,6.0,6.0,13.0,18,True,1,,,,
38,haris-musa/excel-mcp-server,haris-musa/excel-mcp-server,"An Excel manipulation server providing workbook creation, data operations, formatting, and advanced features (charts,..","['local', 'python']",developer-tools,https://github.com/haris-musa/excel-mcp-server,https://github.com/haris-musa/excel-mcp-server,MIT,2025-02-12 06:39:48,2025-08-11 07:35:59,2025-08-06 20:00:49,43,26.0,237,13.0,46.0,21.0,24.0,2120,2025-08-06 20:07:46,0.1.7,7.0,,,9.0,18,True,1,,,,
39,mobile-next/mobile-mcp,mobile-next/mobile-mcp,"MCP Server for Android/iOS application and device automation, development and app scraping...","['linux', 'local', 'macos', 'typescript']",developer-tools,https://github.com/mobile-next/mobile-mcp,https://github.com/mobile-next/mobile-mcp,Apache-2.0,2025-03-28 16:21:06,2025-08-24 20:14:41,2025-08-24 20:14:41,159,34.0,174,18.0,60.0,33.0,67.0,1862,2025-08-24 20:15:31,0.0.24,14.0,2.0,2.0,15.0,18,True,1,,,,
40,stack-chan/stack-chan,stack-chan/stack-chan,A JavaScript-driven M5Stack-embedded super-kawaii robot with MCP server functionality for AI-controlled interactions..,"['embedded', 'typescript']",embedded-system,https://github.com/stack-chan/stack-chan,https://github.com/stack-chan/stack-chan,Apache-2.0,2021-06-06 14:31:19,2025-07-17 15:21:44,2025-07-17 15:14:32,1165,57.0,107,28.0,227.0,25.0,75.0,941,2022-09-05 05:57:58,0.2.1,4.0,,,18.0,18,True,1,37.0,0.0,,
41,CoderGamester/mcp-unity,CoderGamester/mcp-unity,MCP Server for Unity3d Game Engine integration for game development.,"['csharp', 'local']",gaming,https://github.com/CoderGamester/mcp-unity,https://github.com/CoderGamester/mcp-unity,MIT,2025-03-13 20:41:25,2025-08-23 11:47:19,2025-08-23 11:47:03,168,65.0,114,16.0,25.0,2.0,47.0,929,2025-08-23 11:48:10,1.2.0,7.0,,,11.0,18,True,2,183.0,45.0,,
42,neo4j-contrib/mcp-neo4j,neo4j-contrib/mcp-neo4j,"Model Context Protocol with Neo4j (Run queries, Knowledge Graph Memory, Manaage Neo4j Aura Instances).","['local', 'python']",databases,https://github.com/neo4j-contrib/mcp-neo4j,https://github.com/neo4j-contrib/mcp-neo4j,MIT,2024-12-03 15:44:25,2025-08-20 18:55:32,2025-08-20 18:54:16,236,153.0,165,8.0,99.0,27.0,17.0,642,2025-08-20 18:55:32,mcp-neo4j-data-modeling-v0.4.0,21.0,,,11.0,18,True,1,396.0,49.0,,
43,mark3labs/mcp-filesystem-server,mark3labs/mcp-filesystem-server,Golang implementation for local file system access.,"['go', 'local']",file-systems,https://github.com/mark3labs/mcp-filesystem-server,https://github.com/mark3labs/mcp-filesystem-server,MIT,2024-11-28 12:15:08,2025-08-11 23:05:48,2025-06-29 21:37:00,54,18.0,71,5.0,31.0,12.0,13.0,497,2025-06-22 20:23:14,0.11.1,14.0,15.0,15.0,7.0,18,True,1,516.0,103.0,,
44,centralmind/gateway,centralmind/gateway,"MCP and MCP SSE Server that automatically generate API based on database schema and data. Supports PostgreSQL,..","['go', 'local', 'macos', 'windows']",databases,https://github.com/centralmind/gateway,https://github.com/centralmind/gateway,Apache-2.0,2025-02-10 19:34:14,2025-07-18 16:15:36,2025-07-18 16:15:36,477,13.0,52,8.0,38.0,14.0,35.0,458,2025-07-12 08:14:25,0.2.19,38.0,,,10.0,18,True,1,851.0,141.0,,
45,dbt-labs/dbt-mcp,dbt-labs/dbt-mcp,"Official MCP server for dbt (data build tool) providing integration with dbt Core/Cloud CLI, project metadata..","['cloud', 'local', 'official', 'python']",data-platforms,https://github.com/dbt-labs/dbt-mcp,https://github.com/dbt-labs/dbt-mcp,Apache-2.0,2025-03-12 20:13:12,2025-08-22 16:10:01,2025-08-22 16:09:45,231,122.0,50,13.0,247.0,17.0,33.0,360,2025-08-22 16:10:13,0.6.0,25.0,,,22.0,18,True,3,,,,
46,getsentry/sentry-mcp,getsentry/sentry-mcp,Sentry.io integration for error tracking and performance monitoring.,"['cloud', 'python']",monitoring,https://github.com/getsentry/sentry-mcp,https://github.com/getsentry/sentry-mcp,,2025-03-29 22:23:13,2025-08-19 05:21:48,2025-08-19 05:21:45,690,251.0,35,32.0,401.0,34.0,79.0,320,2025-07-24 17:17:42,0.17.1,20.0,,,21.0,18,True,2,34.0,8.0,,True
47,ahujasid/blender-mcp,ahujasid/blender-mcp,MCP server for working with Blender.,['python'],art-and-culture,https://github.com/ahujasid/blender-mcp,https://github.com/ahujasid/blender-mcp,MIT,2025-03-07 09:58:58,2025-08-21 19:43:17,2025-08-21 19:43:16,124,18.0,1202,117.0,50.0,15.0,70.0,12984,,,,,,14.0,17,True,1,,,,
48,cjo4m06/mcp-shrimp-task-manager,cjo4m06/mcp-shrimp-task-manager,"A programming-focused task management system that boosts coding agents like Cursor AI with advanced task memory, self-..","['cloud', 'local', 'typescript']",developer-tools,https://github.com/cjo4m06/mcp-shrimp-task-manager,https://github.com/cjo4m06/mcp-shrimp-task-manager,MIT,2025-04-12 08:59:07,2025-08-21 08:55:59,2025-08-21 08:55:59,234,111.0,174,17.0,31.0,19.0,45.0,1614,,,,3.0,3.0,9.0,17,True,1,,,,
49,mariocandela/beelzebub,mariocandela/beelzebub,Beelzebub is a honeypot framework that lets you build honeypot tools using MCP. Its purpose is to detect prompt..,['cloud'],security,https://github.com/mariocandela/beelzebub,https://github.com/mariocandela/beelzebub,GPL-3.0,2022-05-08 18:47:02,2025-08-24 13:33:33,2025-08-24 13:32:33,280,14.0,118,16.0,163.0,1.0,23.0,1397,2025-08-01 06:34:52,3.4.1,52.0,,,6.0,17,True,2,,,,
50,benborla/mcp-server-mysql,benborla/mcp-server-mysql,MySQL database integration in NodeJS with configurable access controls and schema inspection.,"['cloud', 'local']",databases,https://github.com/benborla/mcp-server-mysql,https://github.com/benborla/mcp-server-mysql,MIT,2024-12-09 14:02:55,2025-08-14 04:15:53,2025-08-14 04:15:53,162,28.0,104,7.0,23.0,22.0,36.0,736,2025-07-17 15:15:22,2.0.5,13.0,,,15.0,17,True,2,,,-1.0,
51,Shopify/dev-mcp,Shopify/dev-mcp,Model Context Protocol (MCP) server that interacts with Shopify Dev.,"['cloud', 'typescript']",other-tools-and-integrations,https://github.com/Shopify/dev-mcp,https://github.com/Shopify/dev-mcp,ISC,2025-03-11 17:12:17,2025-08-22 15:58:07,2025-08-14 16:27:35,204,95.0,51,64.0,88.0,8.0,5.0,487,2025-08-14 09:45:51,1.2.0,5.0,,,18.0,17,True,2,,,,
52,zinja-coder/jadx-ai-mcp,zinja-coder/jadx-ai-mcp,JADX-AI-MCP is a plugin and MCP Server for the JADX decompiler that integrates directly with Model Context Protocol..,"['java', 'local']",security,https://github.com/zinja-coder/jadx-ai-mcp,https://github.com/zinja-coder/jadx-ai-mcp,Apache-2.0,2025-04-07 17:28:54,2025-08-07 10:46:11,2025-08-07 10:46:11,91,14.0,51,7.0,3.0,5.0,12.0,457,2025-07-31 20:26:20,3.0.0,11.0,,,4.0,17,True,2,6718.0,1679.0,,
53,mcpjungle/MCPJungle,mcpjungle/MCPJungle,Self-hosted MCP Server registry for enterprise AI Agents.,"['go', 'local']",aggregators,https://github.com/mcpjungle/MCPJungle,https://github.com/mcpjungle/MCPJungle,MPL-2.0,2025-05-15 12:31:06,2025-08-24 22:45:28,2025-08-23 21:26:47,163,127.0,52,4.0,35.0,14.0,18.0,390,2025-08-21 07:39:46,0.2.2,18.0,,,5.0,17,True,2,438.0,146.0,,
54,MigoXLab/dingo,MigoXLab/dingo,MCP server for the Dingo: a comprehensive data quality evaluation tool. Server Enables interaction with Dingos rule-..,"['linux', 'local', 'macos', 'official', 'python', 'windows']",data-science-tools,https://github.com/MigoXLab/dingo,https://github.com/MigoXLab/dingo,Apache-2.0,2024-12-24 05:59:24,2025-08-23 08:25:34,2025-08-20 08:53:48,251,117.0,38,5.0,130.0,3.0,11.0,358,2025-07-31 11:20:11,1.9.0,8.0,,,13.0,17,True,1,,,,
55,strowk/mcp-k8s-go,strowk/mcp-k8s-go,Kubernetes cluster operations through MCP.,"['cloud', 'go', 'local']",cloud-platforms,https://github.com/strowk/mcp-k8s-go,https://github.com/strowk/mcp-k8s-go,MIT,2024-12-01 07:00:54,2025-07-29 00:10:48,2025-07-20 14:39:22,333,34.0,44,3.0,45.0,7.0,9.0,341,2025-07-20 14:00:52,0.5.0,31.0,1.0,1.0,11.0,17,True,2,857.0,107.0,,
56,joinly-ai/joinly,joinly-ai/joinly,"MCP server to interact with browser-based meeting platforms (Zoom, Teams, Google Meet). Enables AI agents to send bots..","['cloud', 'python']",communication,https://github.com/joinly-ai/joinly,https://github.com/joinly-ai/joinly,MIT,2025-05-29 01:21:02,2025-08-23 16:34:51,2025-08-23 16:34:47,647,582.0,29,5.0,113.0,4.0,8.0,334,2025-08-16 22:42:06,0.4.2,10.0,,,3.0,17,True,1,,,,
57,Softeria/ms-365-mcp-server,Softeria/ms-365-mcp-server,"MCP server that connects to Microsoft Office and the whole Microsoft 365 suite using Graph API (including Outlook,..","['cloud', 'typescript']",communication,https://github.com/Softeria/ms-365-mcp-server,https://github.com/Softeria/ms-365-mcp-server,MIT,2025-04-02 19:55:54,2025-08-22 21:41:10,2025-08-22 21:40:22,170,96.0,70,5.0,79.0,3.0,33.0,225,2025-08-22 21:41:13,0.19.2,76.0,2.0,2.0,12.0,17,True,1,,,,
