,name,github_id,description,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,github_release_downloads,monthly_downloads,trending,updated_github_id
0,jlowin/fastmcp,jlowin/fastmcp,A high-level framework for building MCP servers in Python.,['python'],other-tools-and-integrations,https://github.com/jlowin/fastmcp,https://github.com/jlowin/fastmcp,Apache-2.0,2024-11-30 01:47:40,2025-10-12 23:19:42,2025-10-12 15:04:24,2253.0,488.0,1365.0,77.0,1033.0,187.0,683.0,18974.0,2025-09-26 16:43:10,2.12.4,63.0,6625.0,6625.0,131.0,33,True,1.0,,,,
1,github/github-mcp-server,github/github-mcp-server,"Official GitHub server for integration with repository management, PRs, issues, and more.","['cloud', 'typescript']",version-control,https://github.com/github/github-mcp-server,https://github.com/github/github-mcp-server,MIT,2025-03-04 16:42:04,2025-10-10 14:56:05,2025-10-10 14:56:01,413.0,101.0,2657.0,262.0,585.0,145.0,344.0,23452.0,2025-10-10 09:09:21,0.18.0,26.0,4.0,4.0,82.0,31,True,1.0,125349.0,20891.0,,
2,microsoft/playwright-mcp,microsoft/playwright-mcp,"Official Microsoft Playwright MCP server, enabling LLMs to interact with web pages through structured accessibility..",[],browser-automation,https://github.com/microsoft/playwright-mcp,https://github.com/microsoft/playwright-mcp,Apache-2.0,2025-03-21 17:48:36,2025-10-09 21:57:56,2025-10-09 21:57:41,396.0,171.0,1698.0,84.0,553.0,21.0,551.0,21740.0,2025-10-09 21:57:56,0.0.42,34.0,,,50.0,28,True,1.0,13445.0,1920.0,,
3,mindsdb/mindsdb,mindsdb/mindsdb,Connect and unify data across various platforms and databases with MindsDB as a single MCP server.,[],aggregators,https://github.com/mindsdb/mindsdb,https://github.com/mindsdb/mindsdb,,2018-08-02 17:56:45,2025-10-11 17:20:50,2025-10-10 19:20:50,19688.0,155.0,5840.0,429.0,6820.0,52.0,4295.0,36409.0,2025-09-05 00:24:40,25.9.1.2,100.0,,,878.0,27,True,1.0,,,,
4,oraios/serena,oraios/serena,A fully-featured coding agent that relies on symbolic code operations by using language servers.,"['local', 'python']",coding-agents,https://github.com/oraios/serena,https://github.com/oraios/serena,MIT,2025-03-23 22:35:24,2025-10-12 16:09:05,2025-10-12 14:07:34,1425.0,329.0,939.0,60.0,260.0,69.0,281.0,14070.0,2025-08-15 12:01:05,0.1.4,3.0,,,71.0,27,True,1.0,357.0,71.0,,
5,mediar-ai/screenpipe,mediar-ai/screenpipe,"Local-first system capturing screen/audio with timestamped indexing, SQL/embedding storage, semantic search, LLM-..","['local', 'macos', 'official', 'rust']",other-tools-and-integrations,https://github.com/mediar-ai/screenpipe,https://github.com/mediar-ai/screenpipe,MIT,2024-06-19 13:23:56,2025-09-01 20:21:42,2025-09-01 20:21:42,3996.0,5.0,1212.0,91.0,839.0,191.0,839.0,15754.0,2025-03-28 17:12:29,0.2.74,100.0,,,82.0,26,True,1.0,17572.0,1171.0,,
6,awslabs/mcp,awslabs/mcp,AWS MCP servers for seamless integration with AWS services and resources.,"['cloud', 'official']",cloud-platforms,https://github.com/awslabs/mcp,https://github.com/awslabs/mcp,Apache-2.0,2025-03-21 00:39:00,2025-10-11 01:08:58,2025-10-11 01:08:07,850.0,300.0,952.0,64.0,1093.0,180.0,213.0,6711.0,2025-10-06 16:38:47,2025.10.20251006150229,100.0,4.0,4.0,172.0,26,True,1.0,,,,
7,punkpeye/fastmcp,punkpeye/fastmcp,A high-level framework for building MCP servers in TypeScript.,['typescript'],other-tools-and-integrations,https://github.com/punkpeye/fastmcp,https://github.com/punkpeye/fastmcp,MIT,2024-12-27 02:12:31,2025-10-06 22:52:22,2025-10-06 22:51:17,226.0,22.0,213.0,21.0,88.0,28.0,72.0,2622.0,2025-10-06 22:52:27,3.19.1,100.0,1230.0,1230.0,42.0,26,True,1.0,,,,
8,upstash/context7,upstash/context7,Up-to-date code documentation for LLMs and AI code editors.,"['cloud', 'typescript']",knowledge-and-memory,https://github.com/upstash/context7,https://github.com/upstash/context7,MIT,2025-03-26 23:40:39,2025-10-11 12:24:22,2025-10-10 18:14:43,450.0,171.0,1664.0,89.0,180.0,71.0,508.0,33415.0,2025-10-07 11:57:48,1.0.21,17.0,,,85.0,25,True,1.0,,,,
9,googleapis/genai-toolbox,googleapis/genai-toolbox,"Open source MCP server specializing in easy, fast, and secure tools for Databases.","['cloud', 'go']",databases,https://github.com/googleapis/genai-toolbox,https://github.com/googleapis/genai-toolbox,Apache-2.0,2024-06-07 20:52:54,2025-10-12 18:03:12,2025-10-12 18:03:10,1035.0,447.0,896.0,69.0,1405.0,103.0,187.0,10905.0,2025-10-10 20:34:32,0.17.0,23.0,,,65.0,25,True,1.0,,,,
10,grafana/mcp-grafana,grafana/mcp-grafana,"Search dashboards, investigate incidents and query datasources in your Grafana instance.","['cloud', 'local', 'official', 'python']",monitoring,https://github.com/grafana/mcp-grafana,https://github.com/grafana/mcp-grafana,Apache-2.0,2024-12-24 15:44:23,2025-10-10 15:00:53,2025-10-10 13:54:10,289.0,50.0,156.0,112.0,194.0,38.0,82.0,1700.0,2025-10-10 14:01:04,0.7.3,24.0,1.0,1.0,30.0,25,True,1.0,24031.0,2670.0,,
11,Azure/azure-mcp,Azure/azure-mcp,"Official Microsoft MCP server for Azure services including Storage, Cosmos DB, and Azure Monitor.",[],other-tools-and-integrations,https://github.com/Azure/azure-mcp,https://github.com/Azure/azure-mcp,MIT,2025-04-16 14:54:24,2025-09-03 16:20:30,2025-09-03 16:20:28,490.0,191.0,340.0,42.0,649.0,1.0,410.0,1162.0,,,38.0,2.0,2.0,70.0,25,True,1.0,12163.0,2027.0,,
12,dagger/container-use,dagger/container-use,"Containerized environments for coding agents. Multiple agents can work independently, isolated in fresh containers and..","['go', 'linux', 'local', 'macos', 'windows']",code-execution,https://github.com/dagger/container-use,https://github.com/dagger/container-use,Apache-2.0,2025-05-23 23:18:43,2025-10-07 18:32:01,2025-10-07 18:32:00,322.0,47.0,159.0,10.0,237.0,37.0,45.0,3140.0,2025-08-19 22:31:40,0.4.2,14.0,,,31.0,23,True,1.0,14683.0,3670.0,,
13,taylorwilsdon/google_workspace_mcp,taylorwilsdon/google_workspace_mcp,"Comprehensive Google Workspace MCP server with full support for Google Calendar, Drive, Gmail, and Docs, Forms, Chats,..","['cloud', 'linux', 'macos', 'python', 'windows']",workplace-and-productivity,https://github.com/taylorwilsdon/google_workspace_mcp,https://github.com/taylorwilsdon/google_workspace_mcp,MIT,2025-04-27 18:31:13,2025-10-12 13:59:27,2025-10-12 13:59:25,898.0,496.0,197.0,7.0,136.0,13.0,82.0,769.0,2025-10-07 22:01:36,1.5.2,43.0,,,26.0,23,True,1.0,1185.0,237.0,,
14,aymericzip/intlayer,aymericzip/intlayer,"A MCP Server that enhance your IDE with AI-powered assistance for Intlayer i18n / CMS tool: smart CLI access, access..","['cloud', 'local', 'typescript']",command-line,https://github.com/aymericzip/intlayer,https://github.com/aymericzip/intlayer,Apache-2.0,2024-03-24 20:14:24,2025-10-12 21:59:01,2025-10-12 21:58:45,3566.0,1115.0,74.0,5.0,186.0,37.0,73.0,353.0,2024-08-07 00:31:20,cli-example@1.1.12,100.0,53.0,53.0,33.0,23,True,1.0,,,,
15,GLips/Figma-Context-MCP,GLips/Figma-Context-MCP,Provide coding agents direct access to Figma data to help them one-shot design implementation.,"['local', 'typescript']",developer-tools,https://github.com/GLips/Figma-Context-MCP,https://github.com/GLips/Figma-Context-MCP,MIT,2025-02-13 02:55:06,2025-10-06 23:10:32,2025-10-06 23:09:57,163.0,42.0,881.0,56.0,110.0,16.0,119.0,11164.0,2025-10-06 23:10:33,0.6.4,15.0,,,23.0,22,True,1.0,,,,
16,cloudflare/mcp-server-cloudflare,cloudflare/mcp-server-cloudflare,"Integration with Cloudflare services including Workers, KV, R2, and D1.","['cloud', 'official', 'typescript']",cloud-platforms,https://github.com/cloudflare/mcp-server-cloudflare,https://github.com/cloudflare/mcp-server-cloudflare,Apache-2.0,2024-11-27 22:07:30,2025-10-02 01:53:00,2025-10-02 01:52:26,307.0,23.0,260.0,26.0,181.0,24.0,29.0,3010.0,2025-10-02 01:53:57,@repo/mcp-observability@0.32.3,100.0,10.0,10.0,29.0,22,True,1.0,,,,
17,Flux159/mcp-server-kubernetes,Flux159/mcp-server-kubernetes,"Typescript implementation of Kubernetes cluster operations for pods, deployments, services.","['cloud', 'local', 'typescript']",cloud-platforms,https://github.com/Flux159/mcp-server-kubernetes,https://github.com/Flux159/mcp-server-kubernetes,MIT,2024-12-08 00:01:28,2025-09-22 19:04:49,2025-09-22 19:04:49,650.0,78.0,181.0,10.0,150.0,13.0,52.0,1123.0,2025-09-22 15:54:14,2.9.6,51.0,8.0,8.0,32.0,22,True,1.0,89.0,12.0,,
