,name,github_id,description,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,github_release_downloads,monthly_downloads
119,sapientpants/sonarqube-mcp-server,sapientpants/sonarqube-mcp-server,A Model Context Protocol (MCP) server that integrates with SonarQube to provide AI assistants with access to code..,"['cloud', 'local', 'rust']",developer-tools,https://github.com/sapientpants/sonarqube-mcp-server,https://github.com/sapientpants/sonarqube-mcp-server,MIT,2025-03-20 12:02:36,2025-08-04 01:21:36,2025-07-31 12:48:17,137,115.0,13,3.0,202.0,4.0,50.0,77,2025-07-31 12:48:45,1.7.3,17.0,1.0,1.0,2.0,13,True,2,,
120,yangkyeongmo/mcp-server-apache-airflow,yangkyeongmo/mcp-server-apache-airflow,MCP server that connects to Apache Airflow using official client.,"['local', 'python']",developer-tools,https://github.com/yangkyeongmo/mcp-server-apache-airflow,https://github.com/yangkyeongmo/mcp-server-apache-airflow,MIT,2025-02-13 04:09:06,2025-07-10 04:02:18,2025-07-10 03:03:14,74,31.0,20,4.0,16.0,5.0,8.0,73,2025-07-10 04:02:40,0.2.5,3.0,,,6.0,13,True,2,,
121,ivo-toby/contentful-mcp,ivo-toby/contentful-mcp,"Update, create, delete content, content-models and assets in your Contentful Space.","['local', 'typescript']",other-tools-and-integrations,https://github.com/ivo-toby/contentful-mcp,https://github.com/ivo-toby/contentful-mcp,MIT,2024-12-04 18:27:09,2025-07-31 08:21:14,2025-07-31 08:20:43,260,30.0,15,2.0,32.0,7.0,9.0,59,2025-07-31 08:21:18,1.19.0,20.0,,,6.0,13,True,2,,
122,reza-gholizade/k8s-mcp-server,reza-gholizade/k8s-mcp-server,A Kubernetes Model Context Protocol (MCP) server that provides tools for interacting with Kubernetes clusters through..,"['cloud', 'go', 'local']",cloud-platforms,https://github.com/reza-gholizade/k8s-mcp-server,https://github.com/reza-gholizade/k8s-mcp-server,MIT,2025-04-13 21:22:39,2025-08-04 05:43:49,2025-08-02 12:31:30,109,80.0,9,5.0,31.0,,5.0,57,2025-08-02 09:02:21,1.0.16,7.0,,,6.0,13,True,3,24.0,12.0
123,Jpisnice/shadcn-ui-mcp-server,Jpisnice/shadcn-ui-mcp-server,"MCP server that gives AI assistants seamless access to shadcn/ui v4 components, blocks, demos, and metadata.","['local', 'typescript']",developer-tools,https://github.com/Jpisnice/shadcn-ui-mcp-server,https://github.com/Jpisnice/shadcn-ui-mcp-server,MIT,2025-04-07 13:10:12,2025-07-31 14:16:19,2025-07-31 14:16:19,48,31.0,147,14.0,7.0,7.0,5.0,1271,,,1.0,,,3.0,12,True,2,,
124,brightdata/brightdata-mcp,brightdata/brightdata-mcp,"Discover, extract, and interact with the web - one interface powering automated access across the public internet.","['cloud', 'typescript']",search-data-extraction,https://github.com/brightdata/brightdata-mcp,https://github.com/brightdata/brightdata-mcp,MIT,2025-04-15 10:55:56,2025-07-31 09:52:26,2025-07-31 09:52:26,144,96.0,138,7.0,28.0,5.0,11.0,1032,,,,,,9.0,12,True,2,,
125,crystaldba/postgres-mcp,crystaldba/postgres-mcp,"All-in-one MCP server for Postgres development and operations, with tools for performance analysis, tuning, and health..","['local', 'python']",databases,https://github.com/crystaldba/postgres-mcp,https://github.com/crystaldba/postgres-mcp,MIT,2025-03-24 18:28:53,2025-05-16 14:44:39,2025-05-16 14:43:02,67,2.0,91,7.0,76.0,14.0,5.0,834,2025-05-16 14:45:33,0.3.0,4.0,3.0,3.0,4.0,12,True,3,60.0,15.0
126,rinadelph/Agent-MCP,rinadelph/Agent-MCP,"A framework for creating multi-agent systems using MCP for coordinated AI collaboration, featuring task management,..","['local', 'python']",coding-agents,https://github.com/rinadelph/Agent-MCP,https://github.com/rinadelph/Agent-MCP,,2025-05-13 15:40:10,2025-08-04 00:43:39,2025-07-14 17:33:51,257,257.0,90,9.0,12.0,6.0,14.0,777,,,,,,8.0,12,True,3,,
127,ClickHouse/mcp-clickhouse,ClickHouse/mcp-clickhouse,ClickHouse database integration with schema inspection and query capabilities.,"['cloud', 'python']",databases,https://github.com/ClickHouse/mcp-clickhouse,https://github.com/ClickHouse/mcp-clickhouse,Apache-2.0,2024-12-25 14:15:46,2025-08-01 18:44:56,2025-08-01 18:44:56,53,11.0,86,6.0,50.0,13.0,12.0,472,,,,,,16.0,12,True,3,,
128,ferrislucas/iterm-mcp,ferrislucas/iterm-mcp,A Model Context Protocol server that provides access to iTerm. You can run commands and ask questions about what you..,[],command-line,https://github.com/ferrislucas/iterm-mcp,https://github.com/ferrislucas/iterm-mcp,MIT,2025-01-09 04:49:23,2025-04-30 03:35:36,2025-04-30 03:35:31,76,,40,2.0,17.0,4.0,7.0,404,2025-04-17 03:31:43,1.2.5,11.0,1.0,1.0,6.0,12,True,3,,
129,neondatabase-labs/mcp-server-neon,neondatabase-labs/mcp-server-neon,An MCP Server for creating and managing Postgres databases using Neon Serverless Postgres.,"['cloud', 'typescript']",databases,https://github.com/neondatabase-labs/mcp-server-neon,https://github.com/neondatabase-labs/mcp-server-neon,MIT,2024-11-29 19:08:55,2025-08-02 06:12:12,2025-07-30 20:45:02,120,42.0,56,5.0,84.0,7.0,13.0,393,,,,,,12.0,12,True,3,,
130,wong2/mcp-cli,wong2/mcp-cli,CLI tool for testing MCP servers.,"['local', 'typescript']",other-tools-and-integrations,https://github.com/wong2/mcp-cli,https://github.com/wong2/mcp-cli,GPL-3.0,2024-12-05 04:21:46,2025-07-16 12:14:20,2025-07-16 12:14:15,62,9.0,28,3.0,4.0,4.0,6.0,361,,,,34.0,34.0,3.0,12,True,2,,
